text,label
"SEAMLSSINDIANKITCHEN, xxxxxx1020   NY, REF NO 5xxxx5007LRJSRA7E, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"NUTHOUSE HARDWARE, NEW YORK     NY, REF NO 7xxxx8607LS2LDTPH, TRAN CD 253 SIC CD 5251",MISC
"INTEREST PAID FROM,            12/10/18 THRU 01/07/19, ZDDxx9688, SYSTEM GENERATED 2xxx-x1-08T00:00:00.000Z",MISC
"AT&T*BILL PAYMENT, xxxxxx0500   TX, REF NO 5xxxxx7082DA57XD3, TRAN CD 253 SIC CD 4814",PHONE
"APL*ITUNES.COM/BILL, xxx-xxx-2273 CA, REF NO 5xxxxx6085V5BR8GX, TRAN CD 253 SIC CD 5734",TRANSFER
"SQU*SQ *DR SMOOD LEXIN, NEW YORK     NY, REF NO 5xxxxx6085S8N2607, TRAN CD 253 SIC CD 5812",MISC
"COURSRAANTKOGAN189YCW, xxxxxx7649   CA, REF NO 5xxxx5008LWAT5XQV, TRAN CD 253 SIC CD 8299",MISC
"LYFT   *RIDE TUE 6AM, xxxxxx0278   CA, REF NO 5xxxx5008JJ0F7WLE, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"PAYMENT TO VENMO-PAYMENT, YPEPx4492, SYSTEM GENERATED 2xxx-x1-09T00:00:00.000Z",TRANSFER
"RIDESHARE BENEFIT, , REF NO Fxxx0000A000R2999, TRAN CD 271 SIC CD 5999",LIVING-EXPENSES
"SQU*SQ *DR SMOOD LEXIN, NEW YORK     NY, REF NO 5xxxxx6095SF4NYR3, TRAN CD 253 SIC CD 5812",MISC
"TRADER PANTRY xxxx2461, NEW YORK     NY, REF NO 0xxxx1909GVGTKW2P, TRAN CD 253 SIC CD 5814",MISC
"PURCHASE ON xxxx2019 AT,            TRADER PANTRY xxxx2461 N,            EW YORK NY, @FDxx5093, ATM 2xxx-x1-10T00:00:00.000Z",MISC
"DEPOSIT FROM SG AMERICAS,            SECU-DIRECT DEP, YPEPx6722, SYSTEM GENERATED 2xxx-x1-10T00:00:00.000Z",INCOME
"BOBBY VANS STEAKHOUSE, NEW YORK     NY, REF NO 0xxx4610B00QD9ZPP, TRAN CD 253 SIC CD 5812",ENTERTAINMENT
"SEAMLSSBURGERURWAY, xxxxxx1020   NY, REF NO 5xxxx5009LY9P2EV2, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"SQU*SQ *DR SMOOD LEXIN, NEW YORK     NY, REF NO 5xxx2860B5SVTQ9S5, TRAN CD 253 SIC CD 5812",MISC
"COURSRA5YWY0MYTIDCR21, xxxxxx7649   CA, REF NO 5xxx9500BLWK5NVSQ, TRAN CD 253 SIC CD 8299",MISC
"SEAMLSSMANHATTAN3DECK, xxxxxx1020   NY, REF NO 5xxx9500BLWHX0QK3, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"TST* IRVING FARM COFFE, NEW YORK     NY, REF NO 0xxx6840B8PJSW5KR, TRAN CD 253 SIC CD 5812",MISC
"ROSARIO PIZZA, NEW YORK     NY, REF NO 5xxx0800E2LZS76WT, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"LYFT   *RIDE SUN 11AM, xxxxxx0278   CA, REF NO 5xxx9500EJHxx3509, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"SEAMLSSFUKUYAMASUSHIA, xxxxxx1020   NY, REF NO 5xxx9500DLXNBT8YM, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"BROOKLYN HARVEST MAR, BROOKLYN     NY, REF NO 0xxx0480DLYJ8PGTJ, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"BROOKLYN HARVEST MAR, BROOKLYN     NY, REF NO 0xxx0480DLYJ8PEAP, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"SEAMLSSJUNIPER, xxxxxx1020   NY, REF NO 5xxx9500QLYHHY54V, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"SEAMLSSJUNIPER, xxxxxx1020   NY, REF NO 5xxx9500QLWN05GQE, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"PAYMENT TO VENMO-PAYMENT, YPExx5223, SYSTEM GENERATED 2xxx-x1-14T00:00:00.000Z",TRANSFER
MCCORMICK &CO INC COM NON VTG,INVESTMENTS
"RIDESHARE BENEFIT, , REF NO Fxxx0000F000R2999, TRAN CD 271 SIC CD 5999",LIVING-EXPENSES
"SEAMLSSNINASPIZZERIAR, xxxxxx1020   NY, REF NO 5xxx9500ELR5YLJ2E, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"BROOKLYN HARVEST MAR, BROOKLYN     NY, REF NO 0xxx0480ELYJ9RBMV, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"DONNYBROOK, NEW YORK     NY, REF NO 2xxx6060F2Y3D3AZY, TRAN CD 253 SIC CD 5812",ENTERTAINMENT
"PURCHASE ON xxxx2019 AT,            BROOKLYN HARVES BROOKLYN,            HARVES BROOKLYN, @MCxx8128, ATM 2xxx-x1-15T00:00:00.000Z",LIVING-EXPENSES
"PURCHASE ON xxxx2019 AT,            WHOLEFDS  238 BEDFORD,            WHOLEFDS  238 BEDF, @MCxx6330, ATM 2xxx-x1-15T00:00:00.000Z",LIVING-EXPENSES
"PURCHASE ON xxxx2019 AT,            SQU*SQ *DR SMOOD LEXIN N,            EW YORK NY, @FDxx8333, ATM 2xxx-x1-16T00:00:00.000Z",MISC
"TRADER PANTRY xxxx2461, NEW YORK     NY, REF NO 0xxx0190GGVGTJ4GV, TRAN CD 253 SIC CD 5814",MISC
"PURCHASE ON xxxx2019 AT,            SQ *SQ *MILDRED NEW YO N,            EW YORK NY, @FDxx8359, ATM 2xxx-x1-17T00:00:00.000Z",LIFESTYLE
"PURCHASE ON xxxx2019 AT,            SQU*SQ *DR SMOOD LEXIN N,            EW YORK NY, @FDxx8358, ATM 2xxx-x1-17T00:00:00.000Z",MISC
"PURCHASE ON xxxx2019 AT,            BROOKLYN HARVES BROOKLYN,            HARVES BROOKLYN, @MCxx6881, ATM 2xxx-x1-17T00:00:00.000Z",LIVING-EXPENSES
"PURCHASE ON xxxx2019 AT,            TRADER PANTRY xxxx2461 N,            EW YORK NY, @FDxx8431, ATM 2xxx-x1-18T00:00:00.000Z",MISC
"SALE REVERSAL, , REF NO Fxxx1000L000SGAJF, TRAN CD 256 SIC CD 5814",MISC
"TRADER PANTRY xxxx2461, NEW YORK     NY, REF NO Fxxx1000L000SGAJT, TRAN CD 253 SIC CD 5814",MISC
"PURCHASE ON xxxx2019 AT,            WHOLEFDS  238 BEDFORD,            WHOLEFDS  238 BEDF, @MCxx6501, ATM 2xxx-x1-22T00:00:00.000Z",LIVING-EXPENSES
"PAYMENT TO VENMO-PAYMENT, YPExx8370, SYSTEM GENERATED 2xxx-x1-22T00:00:00.000Z",TRANSFER
"PAYMENT TO VENMO-PAYMENT, YPExx8369, SYSTEM GENERATED 2xxx-x1-22T00:00:00.000Z",TRANSFER
"PURCHASE ON xxxx2019 AT,            CAFE' xxx     xxxx2453 N,            EW YORK NY, @FDxx2633, ATM 2xxx-x1-22T00:00:00.000Z",MISC
"PURCHASE ON xxxx2019 AT,            TRADER PANTRY xxxx2461 N,            EW YORK NY, @FDxx2632, ATM 2xxx-x1-22T00:00:00.000Z",MISC
"PURCHASE ON xxxx2019 AT,            BROOKLYN HARVES BROOKLYN,            HARVES BROOKLYN, @MCxx0858, ATM 2xxx-x1-22T00:00:00.000Z",LIVING-EXPENSES
"CASH WITHDRAWAL ON,            xxxx2019 AT D. O. C.,            WIN-xx4951 D. O. C.,            WIN-xx4951, @MCxx7198, ATM 2xxx-x1-22T00:00:00.000Z",MISC
"PURCHASE ON xxxx2019 AT,            WHOLEFDS  238 BEDFORD,            WHOLEFDS  238 BEDF, @MCxx3497, ATM 2xxx-x1-23T00:00:00.000Z",LIVING-EXPENSES
"DEPOSIT FROM SOCIETE,            GENERALE-DIRECT DEP, YPEPx4485, SYSTEM GENERATED 2xxx-x1-24T00:00:00.000Z",INCOME
"PURCHASE ON xxxx2019 AT,            SQU*SQ *DR SMOOD LEXIN N,            EW YORK NY, @FDxx8408, ATM 2xxx-x1-24T00:00:00.000Z",MISC
"PURCHASE ON xxxx2019 AT,            TRADER PANTRY xxxx2461 N,            EW YORK NY, @FDxx8407, ATM 2xxx-x1-24T00:00:00.000Z",MISC
"PURCHASE ON xxxx2019 AT,            TRADER PANTRY xxxx2461 N,            EW YORK NY, @FDxx8344, ATM 2xxx-x1-25T00:00:00.000Z",MISC
"DEPOSIT FROM SG AMERICAS,            SECU-DIRECT PAY, YPEPx3304, SYSTEM GENERATED 2xxx-x1-25T00:00:00.000Z",INCOME
"NETFLIX.COM, NETFLIX.COM  CA, REF NO 5xxx2860R5SGZ4GWH, TRAN CD 253 SIC CD 4899",SUBSCRIPTION
"LYFT   *RIDE FRI 6AM, xxxxxx0278   CA, REF NO 5xxx9500RJHM3ZPHP, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"RIDESHARE BENEFIT, , REF NO Fxxx0000V000R2999, TRAN CD 271 SIC CD 6012",LIVING-EXPENSES
"SQU*SQ *METRO LOBBY ST, NEW YORK     NY, REF NO 5xxx2860T5STKFY4X, TRAN CD 253 SIC CD 5499",MISC
"SPOTIFY USA, NEW YORK     NY, REF NO 1xxx0210T00QAPB1H, TRAN CD 253 SIC CD 4899",SUBSCRIPTION
"BOBBY VANS STEAKHOUSE, NEW YORK     NY, REF NO 0xxx4610S00DDN2ZS, TRAN CD 253 SIC CD 5812",ENTERTAINMENT
"PAYMENT TO VENMO-PAYMENT, YPExx2516, SYSTEM GENERATED 2xxx-x1-28T00:00:00.000Z",TRANSFER
"CASH WITHDRAWAL ON,            xxxx2019 AT RUSHIKA,            INC.-xx8444 RUSHIKA,            INC.-xx8444, @MCxx2716, ATM 2xxx-x1-28T00:00:00.000Z",MISC
"BROOKLYN HARVEST MAR, BROOKLYN     NY, REF NO 0xxx0480VLYJAJS0W, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"AMAZON PRIME, AMZN.COM/BILLWA, REF NO 5xxx2860S5SZ0HZDY, TRAN CD 253 SIC CD 5968",SUBSCRIPTION
"SQ *SQ *OVENLY WILLIAM, BROOKLYN     NY, REF NO 5xxx2860S5SZMKEEX, TRAN CD 253 SIC CD 5499",MISC
"SEAMLSSWASABISUSHI, xxxxxx1020   NY, REF NO 5xxx9500SLW69B0WQ, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"WHOLEFDS WBG#x0487, BROOKLYN     NY, REF NO 0xxx6840V005L284M, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"TRADER PANTRY xxxx2461, NEW YORK     NY, REF NO 0xxx0190SGVGS6HWM, TRAN CD 253 SIC CD 5814",MISC
"MAST BROTHERS CHOCOLAT, BROOKLYN     NY, REF NO 5xxx2860X5SGTLR09, TRAN CD 253 SIC CD 5812",MISC
"VERIZON*RECURRING PAY, 800-VERIZON  FL, REF NO 5xxx2860W5SBXGZ5W, TRAN CD 253 SIC CD 4899",LIVING-EXPENSES
"PP*KADAMPA NYC, NEW YORK     NY, REF NO 5xxx9500WS0W5FMVP, TRAN CD 253 SIC CD 8398",SUBSCRIPTION
"LYFT   *RIDE SUN 12PM, xxxxxx0278   CA, REF NO 5xxx9500WJHS6LWBJ, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"RIDESHARE BENEFIT, , REF NO Fxxx0000Y000R2999, TRAN CD 271 SIC CD 6012",LIVING-EXPENSES
"SQU*SQ *DR SMOOD LEXIN, NEW YORK     NY, REF NO 5xxx2860X5SK6PT21, TRAN CD 253 SIC CD 5812",MISC
"AMAZON.COM*MB46E57D1, AMZN.COM/BILLWA, REF NO 5xxx2860X5SJMSH3N, TRAN CD 253 SIC CD 5942",TRANSFER
"PAYMENT TO VENMO-PAYMENT, YPExx6734, SYSTEM GENERATED 2xxx-x1-31T00:00:00.000Z",TRANSFER
"PAYMENT TO VENMO-PAYMENT, YPExx6734, SYSTEM GENERATED 2xxx-x1-31T00:00:00.000Z",TRANSFER
"ONLINE TRANSFER TO,            SAV xxxxx1063,            ON 01/31/2019,            HIB- 9xxx1887XTLZFD5HQ3, IBxxx3836, INTERNET BANKING 2xxx-x1-31T00:00:00.000Z",TRANSFER
"ONLINE TRANSFER TO,            CARD xxxx xxxx xxxx 3038,            ON 01/31/2019,            HIB- 9xxx1887XTLZE1FFEW, IBxxx3470, INTERNET BANKING 2xxx-x1-31T00:00:00.000Z",TRANSFER
"SQ *SQ *MILDRED NEW YO, NEW YORK     NY, REF NO 5xxx2860Y5SSJFA7G, TRAN CD 253 SIC CD 7230",LIFESTYLE
"SQU*SQ *DR SMOOD LEXIN, NEW YORK     NY, REF NO 5xxx2860Y5SRPBYHW, TRAN CD 253 SIC CD 5812",MISC
"APL*ITUNES.COM/BILL, xxx-xxx-2273 CA, REF NO 5xxx2860Y5SPPA0D9, TRAN CD 253 SIC CD 5734",TRANSFER
"APL*ITUNES.COM/BILL, xxx-xxx-2273 CA, REF NO 5xxx2860Y5SPEWA2Z, TRAN CD 253 SIC CD 5734",TRANSFER
"SEAMLSSINDIANKITCHEN, xxxxxx1020   NY, REF NO 5xxx9500YLWKN0E6A, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"TRADER PANTRY xxxx2461, NEW YORK     NY, REF NO 0xxx0190YGVGTW60Q, TRAN CD 253 SIC CD 5814",MISC
"ONLINE TRANSFER FROM,            CHK xxxxx8911,            ON 01/31/2019,            HIB- 9xxx1887XTLZFD5HQ3, IBxxx3836, INTERNET BANKING 2xxx-x1-31T00:00:00.000Z",TRANSFER
INTEREST EARNED CASH,MISC
REINVESTMENT CASH,INVESTMENTS
"PAYMENT TO VENMO-PAYMENT, YPExx2305, SYSTEM GENERATED 2xxx-x2-01T00:00:00.000Z",TRANSFER
"REBATE OF ATM SURCHARGE,            FOR 01/27/19 WITHDRAWAL, Z@ARx3775, SYSTEM GENERATED 2xxx-x2-01T00:00:00.000Z",MISC
"REBATE OF ATM SURCHARGE,            FOR 01/19/19 WITHDRAWAL, Z@ARx3774, SYSTEM GENERATED 2xxx-x2-01T00:00:00.000Z",MISC
"PAYMENT - THANK YOU, , REF NO 8xxxx3110EHN5WDSP, TRAN CD 271 SIC CD 6010",TRANSFER
"LYFT   *RIDE WED 6AM, xxxxxx0278   CA, REF NO 5xxx9500ZJHXAP87L, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"TRADER PANTRY xxxx2461, NEW YORK     NY, REF NO 0xxx0190ZGVGTSS04, TRAN CD 253 SIC CD 5814",MISC
"RIDESHARE BENEFIT, , REF NO Fxxxxxxx2000R2999, TRAN CD 271 SIC CD 6012",LIVING-EXPENSES
"SEAMLSSMANHATTAN3DECK, xxxxxx1020   NY, REF NO 5xxxx5010LTZWL6ZN, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"SEAMLSSWASABISUSHI, xxxxxx1020   NY, REF NO 5xxxx5010LR64J13W, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"LYFT   *CANCEL FEE, xxxxxx0278   CA, REF NO 5xxxx5010JHYWBVT1, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"ELIZABAR BREAD LLC, NEW YORK     NY, REF NO 5xxxxx2115SZYLMEA, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"NEXT CLEANERS, KEARNY       NJ, REF NO 5xxxx3510QJSQR24K, TRAN CD 253 SIC CD 7216",LIVING-EXPENSES
"PAYMENT TO LEVEL POWER,            AND-WEB PMTS, YPExx4370, SYSTEM GENERATED 2xxx-x2-04T00:00:00.000Z",LIVING-EXPENSES
"PAYMENT TO 2 NORTH 6TH,            PLAC-WEB PMTS, YPExx4369, SYSTEM GENERATED 2xxx-x2-04T00:00:00.000Z",LIVING-EXPENSES
"PAYMENT TO VENMO-PAYMENT, YPExx4368, SYSTEM GENERATED 2xxx-x2-04T00:00:00.000Z",TRANSFER
"PAYMENT TO VENMO-PAYMENT, YPExx4367, SYSTEM GENERATED 2xxx-x2-04T00:00:00.000Z",TRANSFER
"SQ *SQ *OVENLY WILLIAM, BROOKLYN     NY, REF NO 5xxxxx6125SNDJK4Q, TRAN CD 253 SIC CD 5499",MISC
"ZIPCAR INC., xxxxxx7227   MA, REF NO 5xxxxx2135SWQH20G, TRAN CD 253 SIC CD 4789",LIVING-EXPENSES
"NEXT CLEANERS, KEARNY       NJ, REF NO 5xxxx3512QJSQR2W9, TRAN CD 253 SIC CD 7216",LIVING-EXPENSES
"ZIPCAR INC., xxxxxx7227   MA, REF NO 5xxxxx2125SV2L090, TRAN CD 253 SIC CD 4789",LIVING-EXPENSES
"ZIPCAR INC., xxxxxx7227   MA, REF NO 5xxxxx2125SRSK1EA, TRAN CD 253 SIC CD 4789",LIVING-EXPENSES
"WHOLEFDS BKN #x0220, BROOKLYN     NY, REF NO 0xxxxxxx2005NHYQB, TRAN CD 253 SIC CD 5411",LIVING-EXPENSES
"PRET A MANGER 021, NEW YORK     NY, REF NO 5xxxx5211LAS5XA7G, TRAN CD 253 SIC CD 5814",MISC
"TRADER PANTRY xxxx2461, NEW YORK     NY, REF NO 0xxxx1911GVGTVFL2, TRAN CD 253 SIC CD 5814",MISC
"APL*ITUNES.COM/BILL, xxx-xxx-2273 CA, REF NO 5xxxxx6135SX7DVL3, TRAN CD 253 SIC CD 5734",TRANSFER
"FEDERAL TAX WITHHELD, ZDDxx3467, SYSTEM GENERATED 2xxx-x2-06T00:00:00.000Z",MISC
"INTEREST PAID FROM,            01/07/19 THRU 02/05/19, ZDDxx3467, SYSTEM GENERATED 2xxx-x2-06T00:00:00.000Z",MISC
"SQU*SQ *DR SMOOD LEXIN, NEW YORK     NY, REF NO 5xxxxx6145V28ZVFQ, TRAN CD 253 SIC CD 5812",MISC
"LYFT   *RIDE SUN 11AM, xxxxxx0278   CA, REF NO 5xxxx5015JJ2BFG6X, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"PAYMENT TO VENMO-PAYMENT, YPEPx9765, SYSTEM GENERATED 2xxx-x2-07T00:00:00.000Z",TRANSFER
"DEPOSIT FROM SOCIETE,            GENERALE-DIRECT DEP, YPEPx5708, SYSTEM GENERATED 2xxx-x2-07T00:00:00.000Z",INCOME
"RIDESHARE BENEFIT, , REF NO Fxxxxxxx6000R2999, TRAN CD 271 SIC CD 6012",LIVING-EXPENSES
"IPHONE CITIZENSONELOAN, BRIDGEPORT   CT, REF NO 8xxxxx3152NPNW7FT, TRAN CD 253 SIC CD 6012",PHONE
"SQU*SQ *DR SMOOD LEXIN, NEW YORK     NY, REF NO 5xxxxx6155SBNA21X, TRAN CD 253 SIC CD 5812",MISC
"LYFT   *RIDE SUN 9PM, xxxxxx0278   CA, REF NO 5xxxx5015JJ42Q2WT, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"LYFT   *RIDE SUN 5PM, xxxxxx0278   CA, REF NO 5xxxx5015JJ2T6VTF, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"LYFT   *RIDE SUN 3PM, xxxxxx0278   CA, REF NO 5xxxx5015JJ2HJ2AQ, TRAN CD 253 SIC CD 4121",LIVING-EXPENSES
"RIDESHARE BENEFIT, , REF NO Fxxxxxxx7000R2999, TRAN CD 271 SIC CD 5999",LIVING-EXPENSES
"RIDESHARE BENEFIT, , REF NO Fxxxxxxx7000R2999, TRAN CD 271 SIC CD 5999",LIVING-EXPENSES
"RIDESHARE BENEFIT, , REF NO Fxxxxxxx7000R2999, TRAN CD 271 SIC CD 5999",LIVING-EXPENSES
"KRYTERION WEBASSESSOR, xxxxxx4660   AZ, REF NO 5xxxxx9161SV7A435, TRAN CD 253 SIC CD 7399",MISC
"QUIP NYC INC, xxxxxx7847   NY, REF NO 5xxxx5016JH97PTBS, TRAN CD 253 SIC CD 7298",MISC
"TRADER PANTRY xxxx2461, NEW YORK     NY, REF NO 0xxxx1916GVGS3L8Z, TRAN CD 253 SIC CD 5814",MISC
"INTEREST PAID FROM,            01/08/19 THRU 02/07/19, ZDDxx4233, SYSTEM GENERATED 2xxx-x2-08T00:00:00.000Z",MISC
"AT&T*BILL PAYMENT, xxxxxx0500   TX, REF NO 5xxxxx7172D9PZT01, TRAN CD 253 SIC CD 4814",PHONE
"SQU*SQ *METRO LOBBY ST, NEW YORK     NY, REF NO 5xxxxx6175SP14W9M, TRAN CD 253 SIC CD 5499",MISC
"APL*ITUNES.COM/BILL, xxx-xxx-7753 CA, REF NO 5xxxxx6175SNK9JW9, TRAN CD 253 SIC CD 5734",TRANSFER
