text,label
PURCHASE - OFICINA LANTINA          NEW YORK     NY,ENTERTAINMENT
PURCHASE - HRBLOCK RETAIL           NEW YORK     NY,ENTERTAINMENT
PURCHASE - THE SMITH  LINCOLN CEN   NEW YORK     NY,ENTERTAINMENT
PURCHASE - THE HEADLESS HORSEMAN    NEW YORK     NY,ENTERTAINMENT
PURCHASE - VIVOBAREFOOT.COM         xxxxxxx0222  GB,MISC
PURCHASE - MAISON PICKLE            NEW YORK     NY,ENTERTAINMENT
PURCHASE - PAYPAL *SEEDSINMIDD      xxxxxx7733   CA,MISC
PURCHASE - PEGU                     NEW YORK     NY,ENTERTAINMENT
GLOBAL TRANSFER WITH GB - REFERENCE NUMBER GPOVXQ6C6S,MISC
PURCHASE - PAYPAL *PORTALBURNL      xxxxxx7733   CA,MISC
PURCHASE - XL AIRWA xxxxxxxxxx4226  WASHINGTON DCDC,MISC
PURCHASE - TEA & SYMPATHY           NEW YORK     NY,ENTERTAINMENT
PURCHASE - ETSY.COM                 BROOKLYN     NY,MISC
PURCHASE - SUR LA TABLE DIRECT      xxxxxxx0852  WA,MISC
PURCHASE - J CREW                   xxxxxxx0258  VA,MISC
PURCHASE - ORIGINAL PENGUIN 661     NEW YORK     NY,ENTERTAINMENT
PURCHASE - LORELEY RESTAURANT       NEW YORK     NY,ENTERTAINMENT
PURCHASE - ALDI x5020               HORNELL      NY,MISC
PURCHASE - WAL-MART #2326           HORNELL      NY,MISC
PURCHASE - SEAMLSSKFC               xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - SEAMLSSPEARLSN8THST      xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - VIDEOLOGY                NEW YORK     NY,ENTERTAINMENT
PURCHASE - PATROON                  NEW YORK     NY,ENTERTAINMENT
PURCHASE - ANTIQUE GARAGE RESTAUR   NEW YORK     NY,ENTERTAINMENT
PURCHASE - SQUARE      *SQ *TIMNA   NEW YORK     NY,MISC
PURCHASE - FRESH KILLS BAR          BROOKLYN     NY,ENTERTAINMENT
PURCHASE - THE KOOPLES              PARIS        FR,MISC
PURCHASE - SEAMLSSSAKURAOFJAPAN     xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - DIVIERA DRIVE            BROOKLYN     NY,LIVING-EXPENSES
PURCHASE MADE ON 11/04/17 AT RAVAGH PERSIAN GRILL - NEW YORK      NY,ENTERTAINMENT
PURCHASE - SEAMLSSBUTCHERBLOCK      xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - THE FOUR HORSEMEN        BROOKLYN     NY,ENTERTAINMENT
PURCHASE - SUNGLASS HUT 7356        NEW YORK     NY,LIFESTYLE
PURCHASE - STILTSVILLE FISH BAR     MIAMI BEACH  FL,LIVING-EXPENSES
PURCHASE - SEAMLSSDEPANNEUR         xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - MARTA                    NEW YORK     NY,ENTERTAINMENT
PURCHASE - BALTHAZAR                NEW YORK     NY,ENTERTAINMENT
PURCHASE - CAFE MOGADOR - BROOKLY   BROOKLYN     NY,MISC
PURCHASE - SEAMLSSTHESANDWICHSHO    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - UPLAND                   NEW YORK     NY,ENTERTAINMENT
PURCHASE - USPS.COM MOVER'S GUIDE   xxx-xxx-3150 TN,LIVING-EXPENSES
PURCHASE - SP * LEESA-SLEEP         NEW YORK     VA,MISC
PURCHASE - CATA RESTAURANT          NEW YORK     NY,ENTERTAINMENT
PURCHASE - AMER MUS NAT HIST TIX    xxxxxxx5200  NY,SUBSCRIPTION
PURCHASE MADE ON 01/19/18 AT HAPPY ENDINGS - NEW YORK      NY,ENTERTAINMENT
PURCHASE - FUBOTV                   xxx-xxx-3826 NY,MISC
PURCHASE - SAUVAGE                  BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - SEAMLSSNATSUMISUSHIAN    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - SHAPESCALE.COM           xxxxxx2612   CA,MISC
PURCHASE - SEAMLSSRIZZOSFINEPIZZ    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - CENTURY TWENTY ONE #10   NEW YORK     NY,MISC
PURCHASE - VANS #0498               BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - FREEMANS                 NEW YORK     NY,ENTERTAINMENT
PURCHASE MADE ON 04/09/18 AT SEAMLSSNINASPIZZERIAR - xxxxxx1020    NY,LIVING-EXPENSES
PURCHASE - PIG BEACH                BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - SQU*SQ *BURGERS BY HON   NEW YORK     NY,MISC
PURCHASE - EATALY NY MARKET         NEW YORK     NY,ENTERTAINMENT
PURCHASE - HOUZZ INC.               xxxxxx4268   CA,LIVING-EXPENSES
PURCHASE - 23ANDME*INC              23ANDME.COM  CA,LIVING-EXPENSES
"LAVAGNA, NEW YORK     NY, REF NO 2xx4780GL01VN90DB, TRAN CD 253 SIC CD 5812",ENTERTAINMENT
"INTEREST EARNED AND PAID,            FROM 05/05/18,                          THROUGH,            06/06/18 INCLUSIVE, AVERAGE DAILY LEDGER BALANCE,      $5,450.00   ANNUAL PERCENTAGE, YIELD EARNED   0.01%, ZCONx2116, SYSTEM GENERATED 2xxx-x6-06T00:00:00.000Z",MISC
"FADA, BROOKLYN     NY, REF NO 0xx1461HY2X8KXB22, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"PANNA COOKING, xxxxxx1181   NY, REF NO 5xx2950J0S0SK0SZH, TRAN CD 253 SIC CD 8299",MISC
"21 GREENPOINT AVE, BROOKLYN     NY, REF NO 2xx3606J72Y2G7AA7, TRAN CD 253 SIC CD 5812",MISC
"WWW.SNAPPED.US, xxxxxxx0041  DE, REF NO 5xx2950JRJJ0BJWPW, TRAN CD 253 SIC CD 7221",LIVING-EXPENSES
"CATBIRD STORE, BROOKLYN     NY, REF NO 8xx5353JT01LX3350, TRAN CD 253 SIC CD 5944",MISC
"HARVARD*BUSINESS REVIE, WWW.HBR.ORG  MA, REF NO 5xx3286L25SE4KRZ3, TRAN CD 253 SIC CD 5968",MISC
"SHAHI QILA LTD, BLACKBURN    GB, REF NO 0xx7246LBSFGQNS8K, TRAN CD 253 SIC CD 7299",MISC
"BALA BAYA, LONDON  SE1  GB, REF NO 5xx0334LEFGQN3LKR, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"MEADOWSWEET, BROOKLYN     NY, REF NO 1xx0136M13M2BNNAZ, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"SALT AND CHARCOAL, BROOKLYN     NY, REF NO 7xx9602M108F3D990, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"SQ     *SQ *AU ZA'ATAR, NEW YORK     NY, REF NO 5xx3286ME5S94KL0P, TRAN CD 253 SIC CD 5812",MISC
"LEXINGTON BRASS, NEW YORK     NY, REF NO 8xx7972NELDNT87MG, TRAN CD 253 SIC CD 5812",ENTERTAINMENT
"TST* ARTICHOKE - WILLI, BROOKLYN     NY, REF NO 0xx3684NF2X5XFBBA, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"UDEMY ONLINE COURSES, xxxxxx5432   CA, REF NO 5xx2950NPJHP00WJE, TRAN CD 253 SIC CD 8299",MISC
"CHIPOTLE 2895, BROOKLYN     NY, REF NO 5xx1020P4603VM8TM, TRAN CD 253 SIC CD 5814",LIVING-EXPENSES
"SEAMLSSODDFELLOWSICEC, xxxxxx1020   NY, REF NO 5xx2950P7LWGHYBVD, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"SEAMLSSCHAITHAIKITCHE, xxxxxx1020   NY, REF NO 5xx2950P6LYBXLKKA, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"ROSARITO FISH SHACK, BROOKLYN     NY, REF NO 8xx8993PELQJ5BFVT, TRAN CD 253 SIC CD 5813",ENTERTAINMENT
"ROSARIO PIZZA, NEW YORK     NY, REF NO 5xxx0800E2LZS76WT, TRAN CD 253 SIC CD 5812",MISC
"ELIZABAR BREAD LLC, NEW YORK     NY, REF NO 5xxxxx2115SZYLMEA, TRAN CD 253 SIC CD 5411",MISC
"KRYTERION WEBASSESSOR, xxxxxx4660   AZ, REF NO 5xxxxx9161SV7A435, TRAN CD 253 SIC CD 7399",MISC
"WPY*YAI, xxx-xxx3729  CA, REF NO 7xxx8232M21KFT9JX, TRAN CD 253 SIC CD 8398",MISC
"LIC MARKET, LONG ISLAND CNY, REF NO 5xxx1352L35MFANPY, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"WAGAMAMA, NEW YORK     NY, REF NO 5xxxxx6385V2QG0Q5, TRAN CD 253 SIC CD 5812",ENTERTAINMENT
"SEAMLSSMOHARANIINDIAN, xxxxxx1020   NY, REF NO 5xxxx5036LRNFJ3VQ, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"SUGARBURG, BROOKLYN     NY, REF NO 2xxxxxx3200MHG95A, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"CHEZ MA TANTE, BROOKLYN     NY, REF NO 8xxxx3131LQ0FRALD, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
"SQU*SQ *ISABELLA BEACH, BROOKLYN     NY, REF NO 5xxxxx6315SGS5PYL, TRAN CD 253 SIC CD 5812",MISC
"SEAMLSSMARTHASCOUNTRY, xxxxxx1020   NY, REF NO 5xxxx5030LXYPSZML, TRAN CD 253 SIC CD 5812",LIVING-EXPENSES
PURCHASE - UBER TECHNOLOGIES INC    xxx-xxx-1039 CA,LIVING-EXPENSES
PURCHASE - DAR 525                  BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - UBER   US JAN01 ZKQCI    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - UBER   US DEC31 5WUCM    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - SEAMLSSURBANRUSTICMAR    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - AMAZON VIDEO ON DEMAND   xxx-xxx-1072 WA,MISC
PURCHASE - CAFE xxx      xxxx2453   NEW YORK     NY,MISC
PURCHASE - DUANE READE #x4429       BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - AMAZON VIDEO ON DEMAND   xxx-xxx-1072 WA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   xxx-xxx-1072 WA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
ONLINE TRANSFER TO   CHECKING xxxxxxx8911 ON 01/03 - REFERENCE NO: IBxx2410,TRANSFER
GLOBAL TRANSFER WITH GB - REFERENCE NUMBER GPOV53Q3MD,MISC
CASH WITHDRAWAL ON  12/30 AT 1 NORTH 4TH PLACE - BROOKLYN     NY,MISC
ONLINE TRANSFER TO   CHECKING xxxxxxx4475 ON 01/03 - REFERENCE NO: IBxx4307,TRANSFER
CASH WITHDRAWAL ON  01/01 AT 1 NORTH 4TH PLACE - BROOKLYN     NY,MISC
PURCHASE - WHOLEFDS WBG#x0487       BROOKLYN     NY,LIVING-EXPENSES
CASH WITHDRAWAL ON  12/30 AT 217 AVENUE A - NEW YORK     NY,MISC
PURCHASE - PIER WINES               BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - ZABLOZKI S BAR           BROOKLYN     NY,ENTERTAINMENT
PURCHASE - RADEGAST HALL & BIERGA   BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - SEAMLSSURBANRUSTICMAR    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - ZABLOZKI S BAR           BROOKLYN     NY,ENTERTAINMENT
PURCHASE - UBER   US JAN02 P6VZN    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - 20 NORTH 5TH STREET DE   BROOKLYN     NY,LIVING-EXPENSES
ONLINE TRANSFER FROM SAVINGS  xxxxxxx1063 ON 01/03 - REFERENCE NO: IBxx2410,TRANSFER
PAYMENT TO NORTH 4TH PLACE-WEB PMTS,LIVING-EXPENSES
PURCHASE - AMAZON.COM               AMZN.COM/BILLWA,MISC
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
PURCHASE - BROOKLYN HARVEST MAR     BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA,TRANSFER
PURCHASE - ZIPCAR INC.              xxxxxxx7227  MA,LIVING-EXPENSES
PURCHASE - W NY HEARTBEAT           NEW YORK     NY,ENTERTAINMENT
PURCHASE - J&J*ROGAINE              xxx-xxx-0400 NJ,MISC
PURCHASE - APL* ITUNES.COM/BILL     xxx-xxx-7753 CA,TRANSFER
PURCHASE - APL* ITUNES.COM/BILL     xxx-xxx-7753 CA,TRANSFER
PURCHASE - CAFE xxx      xxxx2453   NEW YORK     NY,MISC
PURCHASE - APL* ITUNES.COM/BILL     xxx-xxx-7753 CA,TRANSFER
DEPOSIT FROM AMERICANEXPRESS-AXP TEST,MISC
DEPOSIT FROM AMERICANEXPRESS-AXP TEST,MISC
DEPOSIT FROM SG AMERICAS SECU-DIRECT PAY,INCOME
CASH WITHDRAWAL ON  01/06 AT HSBC ATM - 250 PARK AVE             NEW YORK     NY,MISC
CASH WITHDRAWAL ON  01/06 AT HSBC ATM - 250 PARK AVE             NEW YORK     NY,MISC
PURCHASE - WHISKEY BLUE NEW YORK    NEW YORK     NY,MISC
PURCHASE - KENT DRY CLEANERS        BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - AMAZON VIDEO ON DEMAND   xxx-xxx-1072 WA,MISC
PURCHASE - TRADER PANTRY xxxx2461   NEW YORK     NY,MISC
FEDERAL TAX WITHHELD,MISC
INTEREST EARNED AND PAID FROM 12/07/16 - THROUGH 01/06/17 INCLUSIVE,MISC
"INTEREST PAID FROM 12/07/16 THROUGH 01/06/17 INCLUSIVE - AVERAGE DAILY LEDGER BALANCE             $4,201.58",MISC
"INTEREST PAID FROM 12/09/16 THROUGH 01/08/17 INCLUSIVE - AVERAGE DAILY LEDGER BALANCE            $54,982.82",MISC
DEPOSIT FROM HSBC CREDIT CARD-CASH BACK,MISC
DEPOSIT FROM HSBC ONLINE-P2P,MISC
PURCHASE - DAR 525                  BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - JUICE GENERATION 10 WI   BROOKLYN     NY,MISC
PURCHASE - AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA,TRANSFER
PURCHASE - WHOLEFDS WBG#x0487       BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - SQ *HONEST CHOPS         NEW YORK     NY,LIVING-EXPENSES
PURCHASE - DONNYBROOK               NEW YORK     NY,ENTERTAINMENT
PURCHASE - UBER   US JAN08 AUIO2    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - ANGELIKA FILM CTR.NYC    NEW YORK     NY,MISC
PURCHASE - UBER   US JAN07 VZ4K7    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - UBER   US JAN07 ZKBQ3    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - AMAZON VIDEO ON DEMAND   AMZN.COM/BILLWA,MISC
PURCHASE - SEAMLSSDUMONTBURGER      xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - LYFT   *RIDE SAT 9PM     xxxxxx0278   CA,LIVING-EXPENSES
PURCHASE - LYFT   *RIDE SAT 11AM    xxxxxx0278   CA,LIVING-EXPENSES
PURCHASE - AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA,TRANSFER
PURCHASE - NESAMA FOOD CORP         NEW YORK     NY,MISC
PURCHASE - AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA,TRANSFER
PURCHASE - ANGELIKA FILM CTR.NYC    NEW YORK     NY,MISC
PURCHASE - CAFE xxx      xxxx2453   NEW YORK     NY,MISC
PURCHASE - UBER TECHNOLOGIES INC    xxx-xxx-1039 CA,LIVING-EXPENSES
PURCHASE - ANGELIKA FILM CTR.NYC    NEW YORK     NY,MISC
CASH WITHDRAWAL ON  01/10 AT HSBC ATM - 250 PARK AVE             NEW YORK     NY,MISC
PURCHASE - APL* ITUNES.COM/BILL     xxx-xxx-7753 CA,TRANSFER
PURCHASE - SEAMLSSABSOLUTETHAI      xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - AMAZON.COM AMZN.COM/BI   AMZN.COM/BILLWA,MISC
PURCHASE - LYFT   *RIDE SUN 12AM    xxxxxx0278   CA,LIVING-EXPENSES
PURCHASE - SEAMLSSJUICEPRESS1296    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - PRET A MANGER #021       NEW YORK     NY,MISC
PURCHASE - AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA,TRANSFER
PURCHASE - AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA,TRANSFER
ONLINE TRANSFER FROM CHECKING xxxxxxx4475 ON 01/10 - REFERENCE NO: IBxx3150,MISC
PURCHASE - SEAMLSSFRESHYSDELIGRO    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - UNIQLO BROOKLYN #3008    BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - SEAMLSSINTERNATIONALW    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - DUANE READE #x4295       NEW YORK     NY,LIVING-EXPENSES
PURCHASE - PRET A MANGER #021       NEW YORK     NY,MISC
PURCHASE - JUICE GENERATION 10 WI   BROOKLYN     NY,MISC
PURCHASE - TRADER PANTRY xxxx2461   NEW YORK     NY,MISC
RETURN - AMAZON.COM               AMZN.COM/BILLWA,MISC
PURCHASE - BLIND BARBER NY 2        BROOKLYN     NY,LIFESTYLE
PURCHASE - KENT DRY CLEANERS        BROOKLYN     NY,LIVING-EXPENSES
Payroll Contribution,MISC
DEPOSIT FROM SG AMERICAS SECU-DIRECT DEP,INCOME
PURCHASE - SQ *METRO LOBBY STO      NEW YORK     NY,MISC
PURCHASE - KENT DRY CLEANERS        BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - CVS/PHARMACY #x4958      BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - LEA WINE BAR             NEW YORK     NY,ENTERTAINMENT
PURCHASE - BROOKLYN BODY BURN INC   BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - CAFE xxx      xxxx2453   NEW YORK     NY,MISC
PURCHASE - APL* ITUNES.COM/BILL     xxx-xxx-7753 CA,TRANSFER
PURCHASE - DONNYBROOK               NEW YORK     NY,ENTERTAINMENT
PURCHASE - UBER   US JAN15 3JJYQ    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA,TRANSFER
PURCHASE - UBER   US JAN15 QHEJ4    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - SEAMLSSHAABMEXICANRES    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - SEAMLSSJUICEPRESS1296    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - UBER TECHNOLOGIES INC    xxx-xxx-1039 CA,LIVING-EXPENSES
PURCHASE - UBER   US JAN15 OOMHF    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - NYC-TAXI                 LONG IS CITY NY,LIVING-EXPENSES
PURCHASE - SEAMLSSHARLEMSHAKE       xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - UBER   US JAN14 YXAMY    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - CAFE xxx      xxxx2453   NEW YORK     NY,MISC
PURCHASE - DONNYBROOK               NEW YORK     NY,ENTERTAINMENT
CASH WITHDRAWAL ON  01/13 AT 55 EXPRESS TAILOR - NEW YORK     NY,MISC
"CASH WITHDRAWAL ON  01/14 AT 231 1ST AVENUE, - NEW YORK     NY",MISC
CASH WITHDRAWAL ON  01/13 AT 35 CLINTON STREET - NEW YORK     NY,MISC
PURCHASE - UBER   US JAN15 C7WRW    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - SETMORE                  xxxxxx3560   OR,MISC
PURCHASE ON  01/14 AT 159 ESSEX ST - NEW YORK     NY,MISC
PURCHASE - 0000NYCTAXI2H22          LONG ISLAND  NY,LIVING-EXPENSES
DIVIDEND RECEIVED MCCORMICK &CO INC COM NON VTG (MKC),INVESTMENTS
PURCHASE - HARLEM HOOKAH            NEW YORK     NY,ENTERTAINMENT
PURCHASE - WHOLEFDS WBG#x0487       BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - SEAMLSSJUICEPRESS1474    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - SEAMLSSDUMONTBURGER      xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - SEAMLSSURBANRUSTICMAR    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - HARLEM HOOKAH            NEW YORK     NY,ENTERTAINMENT
PURCHASE - SEAMLSSMANHATTAN3DECK    xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - 20 NORTH 5TH STREET DE   BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - SQ *METRO LOBBY STO      NEW YORK     NY,MISC
PURCHASE - AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA,TRANSFER
PAYMENT TO CON ED OF NY-INTELL CK,LIVING-EXPENSES
PURCHASE - AMAZON.COM AMZN.COM/BI   AMZN.COM/BILLWA,MISC
PURCHASE - SANGHA YOGA SHALA        BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - SQ *METRO LOBBY STO      NEW YORK     NY,MISC
PURCHASE - KENT DRY CLEANERS        BROOKLYN     NY,LIVING-EXPENSES
PURCHASE - CAFE xxx      xxxx2453   NEW YORK     NY,MISC
PURCHASE - TAAM TOV                 NEW YORK     NY,ENTERTAINMENT
PURCHASE - YN WINE BAR              NEW YORK     NY,ENTERTAINMENT
CASH WITHDRAWAL ON  01/20 AT 217 AVENUE A - NEW YORK     NY,MISC
PURCHASE - AMAZON.COM               AMZN.COM/BILLWA,MISC
PURCHASE - 0000NYCTAXI1P13          LONG ISLAND CNY,LIVING-EXPENSES
PURCHASE - CAFE xxx      xxxx2453   NEW YORK     NY,MISC
PURCHASE - AT&T*BILL PAYMENT        xxxxxxx0500  TX,PHONE
PURCHASE - UBER   US JAN20 7DL5Q    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - UBER   US JAN20 6RNA6    xxxxxx8996   CA,LIVING-EXPENSES
PURCHASE - SEAMLSSBMDELIINC         xxxxxx1020   NY,LIVING-EXPENSES
PURCHASE - APL* ITUNES.COM/BILL     xxx-xxx-7753 CA,TRANSFER
PURCHASE - NETFLIX.COM              NETFLIX.COM  CA,SUBSCRIPTION
PURCHASE - CAFE xxx      xxxx2453   NEW YORK     NY,MISC
PURCHASE - SOCARRAT NOLITA          NEW YORK     NY,ENTERTAINMENT
